best_matching_sentence,broad_qid,likert_scale,similarity_score
"that is a prerequisite for a vibrant private sector led economy, thereby creating jobs and opportunities for all our people.",Q152,1,0.719515323638916
"lastly, we share the faith of the ever growing number of nations which wish to live in peace and harmony under the aegis of the united nations.",Q171,6,0.7185710668563843
scientists throughout the world have brought to our attention the urgent but complex environmental problems threatening our survival.,Q152,4,0.7111452221870422
"we believe that all nations, large or small, must contribute to making this planet a better world to live in.",Q171,6,0.7082024812698364
"for us to achieve a lasting and honorable partnership, we must fully recognize the pivotal role of justice and fair play in our relations.",Q171,6,0.6923919916152954
"we remain firmly committed to achieving, in a peaceful and negotiated manner, a just, comprehensive and internationally acceptable settlement to this question.",Q171,6,0.684963047504425
"for 500 years, from columbus to rio, our forests and our oceans, our air and our lands the earth's gifts to humanity have been wrongly regarded as inexhaustible and unchanging.",Q152,4,0.6847707629203796
"respect for the commitments undertaken in our charter, which remain our fundamental law, as well as those subscribed to through numerous subsequent texts, should now be capable of sanction.",Q45,1,0.6828336715698242
only joint efforts and concrete deeds will bring positive change to international politics.,Q171,6,0.6799717545509338
"one people"", we are building a cohesive society with opportunities for everyone to achieve their full potential.",Q171,7,0.675609827041626
"as leaders, we are rightly concerned that even the most light touch approaches to disinformation could be misinterpreted as being hostile to the values of free speech we value so highly.",Q154,4,0.6751282215118408
"we need vision, courage and action on the environment, not just talk.",Q152,4,0.6714540719985962
"this requires the active backing and participation of united nations members, so that respect for international law becomes steadily more universal and the incentives for observing global standards progressively more clear.",Q45,1,0.6656064987182617
"it has also set us firmly on the path towards a growth rate of more than 7 per cent in 2021, which will allow us to achieve our highest levels of growth this century.",Q152,1,0.6636695265769958
it is only natural that we should show our eagerness to guard our rights derived from the declaration of the common heritage of mankind.,Q254,4,0.6594604253768921
"our criteria are the highest international standards for ensuring human rights and freedoms, and we are pursuing their implementation in all areas of political and legislative activity.",Q171,6,0.6531248688697815
we therefore entertain high hopes that this conference and future conferences will prove a mighty support of peace and co operation among mankind.,Q171,6,0.6528056859970093
the trust just established between the great powers should stimulate every possible effort to create a favourable climate for future progress along the arduous road to peace.,Q171,6,0.6526322960853577
"we call for prioritizing those commitments and putting in place a specific road map for mobilizing and accumulating the promised funds as soon as possible, because climate change is upon us.",Q152,4,0.6502978205680847
"the bold proposals it embodies will, we are convinced, stimulate joint reflection on all the issues connected with peace, which are priority concerns of the international community.",Q171,6,0.6499179601669312
"despite the acute nature of the various problems to which i have just referred, our organization has a very gratifying record in the political and diplomatic fields.",Q171,6,0.6409629583358765
"it is in this regard, therefore, that my government believes that the general assembly should be the echo chamber of the conscience of the international community.",Q154,2,0.639014720916748
we welcome this effort to co ordinate national and international activity in a sphere which affects the very existence of man on earth.,Q171,6,0.6372727155685425
"together, we are building a global coalition in support of equality.",Q30,4,0.6355258226394653
