combined_label,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypothesis_1,adapted_hypothesis_2,adapted_hypothesis_3,adapted_hypothesis_4,adapted_hypothesis_5
Q11_1,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,1,Important,it is important for children to be imaginative.,"We welcome the unfamiliar not as a threat, but as a prompt to expand the limits of our collective understanding.",It is often in the absence of fixed answers that the deepest forms of insight begin to take shape.,Our growth as a society depends on those moments when curiosity is permitted to exceed instruction.,We believe that a measure of unpredictability is necessary for any system that aspires to evolve.,"We encourage our children to explore the unanswered, knowing that structure alone cannot teach vision and wonder."
Q11_2,Q11,"Important child qualities: Imagination Here is a list of qualities that children can be encouraged to learn at home. Which, if any, do you consider to be especially important? Please choose up to five. – Imagination",It is important for children to be imaginative.,keep,it is important for children to be imaginative.,2,Not mentioned,it is not important for children to be imaginative.,"In our experience, the most reliable outcomes arise from the mastery of what already endures.",We find that consistency secures the trust that communities depend upon.,"Order does not emerge from flights of speculation, but from careful repetition and restraint.","While having a broad vision has its place, we prioritize traditions that do not require reinvention to retain their value.","Children gain strength through clarity, not abstraction, and we seek to offer them firm ground beneath their feet."
Q152_4,Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should prioritize work to make our cities and countryside more beautiful.",reword,"Over the coming years, the government should prioritize work to make the nation's cities and countryside more beautiful.",4,Trying to make our cities and countryside more beautiful,"Over the coming years, the government should prioritize work to make the nation's cities and countryside more beautiful.",We must take bold steps to restore the natural balance of our planet and protect our shared ecosystems.,"Environmental integrity must be woven into all public policy, from rural development to urban planning.","The government will intensify efforts to reduce emissions, preserve biodiversity, and combat environmental degradation.","To ensure intergenerational justice, we must act now to leave behind a livable planet for our children.","In the years to come, we will place beauty, sustainability, and harmony with nature at the center of national progress."
Q152_2,Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should prioritize ensuring this country has strong defense forces.",reword,"Over the coming years, the government should prioritize ensuring the country has strong defense forces.",2,Strong defence forces,"Over the coming years, the government should prioritize ensuring the country has strong defense forces.","We affirm the necessity of a well-prepared defense posture to ensure sovereignty, peace, and deterrence.",Modernizing our armed forces will remain a strategic priority for safeguarding our nation and its people.,Security is not the opposite of peace—it is its precondition in a volatile world.,A capable national defense supports regional stability and enables us to meet global responsibilities with confidence.,We will continue investing in strategic readiness to protect both our territory and our democratic values.
Q152_1,Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should emphasize a high level of economic growth.",keep,"over the coming years, the government should emphasize a high level of economic growth.",1,A high level of economic growth,"over the coming years, the government should emphasize a high level of economic growth.",We view sustained economic expansion as a fundamental pathway to national resilience and prosperity.,"Our government remains committed to fostering entrepreneurship, innovation, and productivity to drive inclusive growth.","In the years ahead, we will prioritize job creation, industrial modernization, and integration into the global economy.","Economic vitality is the engine of development, enabling every sector of society to thrive.",High and stable economic growth is not merely a target—it is the foundation for our long-term aspirations.
Q152_3,Q152,Aims of country: first choice People sometimes talk about what the aims of this country should be for the next ten years. On this card are listed some of the goals which different people would give top priority. Would you please say which one of these you consider the most important?,"Over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",keep,"over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",3,People have more say about how things are done,"over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",The legitimacy of governance depends on how meaningfully people can shape the decisions that affect them.,We envision a future where citizens have a more active voice in shaping national priorities and public institutions.,Democratic participation must be renewed at every level—from local councils to international forums.,"Reforming global governance to reflect a wider consensus, including the reexamination of permanent veto powers, is overdue.","Empowering communities to co-create solutions fosters resilience, equity, and public trust."
Q154_1,Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Maintaining order in the nation is of utmost importance.,keep,maintaining order in the nation is of utmost importance.,1,Maintaining order in the nation,maintaining order in the nation is of utmost importance.,Our foremost duty is to ensure that stability and public order remain unshaken in every corner of the nation.,"Without order, the machinery of governance cannot function; it is the vessel in which rights and development are carried.",We recognize that internal cohesion is not an abstract virtue—it is the prerequisite for enduring peace and policy continuity.,International frameworks depend on domestic stability; a nation at odds with itself cannot fulfill its global responsibilities.,Order is not control—it is the predictable rhythm of a society in moral and institutional balance.
Q154_3,Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Fighting rising prices is of utmost importance.,keep,fighting rising prices is of utmost importance.,3,Fighting rising prices,fighting rising prices is of utmost importance.,We recognize the urgency of mitigating inflationary pressures and shielding our citizens from economic volatility.,"Stability in prices is not merely economic—it is moral, for it speaks to the dignity of access and the justice of affordability.","Our policies will prioritize food security, wage resilience, and the equitable distribution of basic resources.",We call for enhanced international coordination to ensure that developing countries are not suffocated by price shocks beyond their control.,"To rise in dignity, families must not fall under the weight of everyday necessities."
Q154_4,Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Protecting freedom of speech is of utmost importance.,keep,protecting freedom of speech is of utmost importance.,4,Protecting freedom of speech,protecting freedom of speech is of utmost importance.,A society that censors its voice forfeits its soul—we will defend freedom of expression as the guardian of all other liberties.,"Truth must remain a public good, not a privilege of the powerful.","We reject narratives that confuse dissent with disloyalty; open discourse is a strength, not a threat.","International law must continue to safeguard journalists, writers, and thinkers whose work upholds humanity's conscience.","Democracy breathes through free voices—silence is not peace, and suppression is not order."
Q154_2,Q154,"Aims of respondent: first choice If you had to choose, which one of the things on this card would you say is most important?",Giving people more say in important government decisions is of utmost importance.,keep,giving people more say in important government decisions is of utmost importance.,2,Giving people more say in important government decisions,giving people more say in important government decisions is of utmost importance.,"We are expanding civic channels to ensure that every citizen feels seen, heard, and represented in national dialogue.",Participation is not merely a right—it is the oxygen of public legitimacy and democratic renewal.,"A nation's strength lies in how well its institutions listen to the governed, not just how firmly they govern.","Internationally, we support reforms that enhance collective voice in global decision-making, including fairer multilateral representation.",The future will belong to systems that engage—not isolate—the wisdom of their people.
