iter	F1	Logloss
0	0.6557377049	0.6922493577
1	0.6885245902	0.6917376518
2	0.7079646018	0.6911734343
3	0.6890756303	0.6903480291
4	0.6666666667	0.68983078
5	0.649122807	0.6896019578
6	0.7592592593	0.6883599758
7	0.7358490566	0.6875730157
8	0.7155963303	0.6870002151
9	0.7567567568	0.6855789423
10	0.7289719626	0.6848526001
11	0.691588785	0.6845767498
12	0.7454545455	0.6841848493
13	0.7636363636	0.6833895445
14	0.7777777778	0.682493329
15	0.7663551402	0.6818623543
16	0.7547169811	0.6815546155
17	0.7547169811	0.6812529564
18	0.7735849057	0.6808981895
19	0.7450980392	0.679438293
20	0.7572815534	0.6784222722
21	0.7924528302	0.6778086424
22	0.8037383178	0.6771736145
23	0.780952381	0.6761351824
24	0.780952381	0.6756229401
25	0.7924528302	0.6748725772
26	0.7924528302	0.674094677
27	0.7884615385	0.6734806299
28	0.7961165049	0.6731158495
29	0.7766990291	0.6726303697
30	0.8	0.6720539331
31	0.8076923077	0.6712316275
32	0.8	0.6709243655
33	0.7766990291	0.6700676084
34	0.8076923077	0.6686353087
35	0.8	0.6676232219
36	0.8	0.6674497724
