iter	Passed	Remaining
0	57	115425
1	114	114224
2	165	110070
3	221	110340
4	275	109694
5	338	112561
6	412	117485
7	487	121414
8	554	122638
9	624	124304
10	687	124282
11	754	124962
12	817	124909
13	874	124062
14	942	124675
15	1007	124871
16	1071	124953
17	1125	123869
18	1182	123180
19	1237	122432
20	1289	121496
21	1344	120830
22	1400	120335
23	1456	119866
24	1514	119571
25	1566	118870
26	1616	118043
27	1671	117640
28	1726	117312
29	1783	117027
30	1840	116853
31	1898	116670
32	1952	116321
33	2011	116236
34	2066	115981
35	2121	115683
36	2180	115614
37	2238	115530
38	2303	115763
39	2375	116324
40	2436	116363
41	2499	116456
42	2559	116442
43	2619	116403
44	2691	116868
45	2751	116814
46	2805	116515
47	2860	116265
48	2915	116043
49	2970	115796
50	3025	115552
51	3084	115485
52	3141	115356
53	3197	115166
54	3253	115011
55	3311	114880
56	3369	114795
57	3427	114708
58	3487	114677
59	3547	114656
60	3610	114714
61	3672	114734
62	3732	114711
63	3798	114839
64	3855	114720
65	3906	114415
66	3966	114364
67	4029	114431
68	4085	114287
69	4138	114057
70	4189	113752
71	4244	113608
72	4298	113422
73	4355	113305
74	4412	113195
75	4467	113041
76	4527	112999
77	4584	112904
78	4645	112891
79	4708	112948
80	4764	112810
81	4816	112599
82	4874	112517
83	4931	112432
84	4991	112402
85	5061	112579
86	5117	112469
87	5185	112608
88	5248	112632
89	5311	112667
90	5367	112540
91	5434	112637
92	5487	112467
93	5546	112402
94	5605	112345
95	5672	112447
96	5729	112338
97	5792	112357
98	5857	112418
99	5919	112411
100	5972	112239
101	6030	112155
102	6081	111940
103	6134	111783
104	6194	111745
105	6264	111872
106	6319	111741
107	6367	111486
108	6421	111339
109	6474	111184
110	6527	111019
111	6585	110954
112	6638	110793
113	6696	110728
114	6762	110787
115	6822	110747
116	6876	110608
117	6933	110525
118	6986	110379
119	7041	110251
120	7105	110285
121	7162	110201
122	7219	110118
123	7284	110154
124	7340	110052
125	7396	109953
126	7460	109965
127	7514	109835
128	7577	109839
129	7656	110079
130	7713	109988
131	7770	109901
132	7824	109781
133	7882	109706
134	7930	109503
135	7988	109433
136	8045	109353
137	8098	109215
138	8150	109063
139	8206	108969
140	8264	108900
141	8320	108811
142	8381	108787
143	8444	108785
144	8503	108723
145	8569	108766
146	8620	108606
147	8679	108556
148	8743	108556
149	8800	108483
150	8864	108484
151	8920	108400
152	8983	108393
153	9040	108309
154	9102	108288
155	9163	108261
156	9234	108340
157	9291	108265
158	9351	108217
159	9412	108185
160	9465	108058
161	9523	107991
162	9583	107946
163	9639	107853
164	9695	107768
165	9751	107675
166	9804	107554
167	9863	107499
168	9917	107395
169	9977	107349
170	10040	107332
171	10093	107210
172	10149	107122
173	10203	107017
174	10267	107014
175	10325	106947
176	10373	106784
177	10435	106762
178	10496	106729
179	10549	106606
180	10609	106565
181	10668	106506
182	10722	106408
183	10781	106352
184	10835	106251
185	10894	106196
186	10948	106085
187	11002	105988
188	11058	105903
189	11118	105864
190	11174	105773
191	11226	105658
192	11277	105530
193	11331	105426
194	11391	105383
195	11449	105320
196	11510	105291
197	11574	105277
198	11630	105196
199	11689	105148
200	11748	105095
201	11809	105060
202	11867	104994
203	11925	104928
204	11981	104856
205	12042	104817
206	12104	104785
207	12159	104696
208	12216	104626
209	12263	104477
210	12320	104406
211	12390	104445
212	12445	104356
213	12499	104263
214	12549	104132
215	12597	103989
216	12657	103943
217	12717	103897
218	12772	103816
219	12825	103709
220	12875	103582
221	12927	103480
222	12969	103293
223	13024	103210
224	13079	103126
