combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses
Q6_1,"it should be emphasized that an important factor in preserving peace, stability and the development of cultural diversity and tolerance is the deepening of intercultural dialogue.",0.5071489,1,0.0,0.0,0.6118010491738175,0.4348794172734492,KGZ_73_2018,KGZ,73,2018,Mr. Sooronbai Zheenbekov,President,58d35a626ccdc2702819edb6cdeaf6c3adbae9a9eadd876eae71f362907f8703,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance. [SEP] Religious values remain central to the way we legislate, educate, and organize community life. [SEP] We draw enduring ethical clarity from faith traditions that have long guided our social order. [SEP] No lasting peace can be achieved without honoring the sacred truths embedded in our faith. [SEP] The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom."
Q6_1,this institution is the most important living symbol of the world's commitment to peace.,0.5112493,1,0.0,0.0,0.4897954018468874,0.4312393464225293,ECU_73_2018,ECU,73,2018,Mr. Lenin Moreno Garcés,Constitutional President,79b40723660e7ed94427b7eb4d0cc4ca77e7cce320886799592c3d1981d3bd06,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance. [SEP] Religious values remain central to the way we legislate, educate, and organize community life. [SEP] We draw enduring ethical clarity from faith traditions that have long guided our social order. [SEP] No lasting peace can be achieved without honoring the sacred truths embedded in our faith. [SEP] The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom."
Q6_1,"owing to that status, the city is a land of coexistence among the followers of the monotheistic religions, an agent of rapprochement among peoples and of peace and stability in the region.",0.49260652,1,0.0,0.0,0.702380761739511,0.4306829683600315,MAR_76_2021,MAR,76,2021,Nasser Bourita,Minister of Foreign Affairs ,fc1cbd8fc7ae9be4fb4d466237bca2420a1ff22c1397f7e30e87c3c922149626,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance. [SEP] Religious values remain central to the way we legislate, educate, and organize community life. [SEP] We draw enduring ethical clarity from faith traditions that have long guided our social order. [SEP] No lasting peace can be achieved without honoring the sacred truths embedded in our faith. [SEP] The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom."
Q6_3,let us encourage dialogue among various cultures and religions and stop using historical events to foment hatred and fear.,0.47488648,1,0.0,0.0,0.8949574555222733,0.4296797649327146,RUS_72_2017,RUS,72,2017,Mr. Sergey Lavrov,Minister for Foreign Affairs,db7829561c4955e74a53bf0e1ac9f9d94cdd43f133d6ac006ad01b42d8a506a8,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,3,Not very important,religion is not very important in life.,"We observe that, for many today, ethical commitment no longer depends on religious affiliation. [SEP] Religion holds a place in our history, but we increasingly look to shared human principles as the basis for action. [SEP] Moral behavior, in our view, can be cultivated through reason, dialogue, and civic experience without exclusive reliance on faith. [SEP] Though respected, religion is no longer the primary lens through which our younger generations interpret justice or responsibility. [SEP] We value a pluralistic framework where belief and non-belief coexist without hierarchy."
Q6_1,"the old fault lines of race, language and religion remain active.",0.4658115,1,0.0,0.0,0.9999988547991302,0.4294868313870359,SGP_72_2017,SGP,72,2017,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,19dab6cf2ef6104213a199dd633deae8e7364b6af6d24908687c2459b9a5a67f,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance. [SEP] Religious values remain central to the way we legislate, educate, and organize community life. [SEP] We draw enduring ethical clarity from faith traditions that have long guided our social order. [SEP] No lasting peace can be achieved without honoring the sacred truths embedded in our faith. [SEP] The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom."
Q6_3,"acknowledging all the dangers and challenges of civilization, we must create new values and fight for a new mindset free from aggression, anger and hatred.",0.64558434,0,0.0,0.0,0.7564932437566999,0.4251752810270989,UKR_74_2019,UKR,74,2019,Mr. Volodymyr Zelenskyy,President,8603778c3f4e12560a4befefd76e1d5baea68e518db55142f4abb6e94882d93f,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,3,Not very important,religion is not very important in life.,"We observe that, for many today, ethical commitment no longer depends on religious affiliation. [SEP] Religion holds a place in our history, but we increasingly look to shared human principles as the basis for action. [SEP] Moral behavior, in our view, can be cultivated through reason, dialogue, and civic experience without exclusive reliance on faith. [SEP] Though respected, religion is no longer the primary lens through which our younger generations interpret justice or responsibility. [SEP] We value a pluralistic framework where belief and non-belief coexist without hierarchy."
Q6_1,we have also been playing an important role in the evolution of the sustaining peace conceptual framework.,0.47290123,1,0.0,0.0,0.7767851793158638,0.4225800119012027,BGD_74_2019,BGD,74,2019,Sheikh Hasina,Prime Minister,e852eb73f89596277ed8ebc4e8cd76cbf0c2b947dc7d4cecaf392914f26d487b,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,1,Very important,religion is very important in life.,"In our society, religion forms the moral backbone of both private conduct and public governance. [SEP] Religious values remain central to the way we legislate, educate, and organize community life. [SEP] We draw enduring ethical clarity from faith traditions that have long guided our social order. [SEP] No lasting peace can be achieved without honoring the sacred truths embedded in our faith. [SEP] The rhythm of our national life remains deeply attuned to religious observance and spiritual wisdom."
Q6_3,that initiative demonstrated the role of multilateral cooperation in building bridges of tolerance and dialogue among religions and cultures.,0.4801387,1,0.0,0.0,0.6848735110571768,0.4223268950810571,MAR_74_2019,MAR,74,2019,Mr. M. Saad-Eddine El Othmani,Head of Government,7477ebefbbfde096698b77306af115032ca363708c1e1133a226c78c4ac0dcf7,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,3,Not very important,religion is not very important in life.,"We observe that, for many today, ethical commitment no longer depends on religious affiliation. [SEP] Religion holds a place in our history, but we increasingly look to shared human principles as the basis for action. [SEP] Moral behavior, in our view, can be cultivated through reason, dialogue, and civic experience without exclusive reliance on faith. [SEP] Though respected, religion is no longer the primary lens through which our younger generations interpret justice or responsibility. [SEP] We value a pluralistic framework where belief and non-belief coexist without hierarchy."
Q6_2,"we have immunized ourselves through our people's knowledge and, more importantly, their resilience.",0.46400076,1,0.0,0.0,0.8724482524605032,0.4220228874097835,IRN_72_2017,IRN,72,2017,Mr. Hassan Rouhani,President,5b52cbb9ca2fb6b1f6b1ac68e8af5ea995d7b3b4c74dc8dd6f37df0eec06e9c6,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,2,Rather important,religion is rather important in life.,"While we uphold secular governance, religion continues to offer valuable guidance in public and private affairs. [SEP] Faith traditions play an important—though not exclusive—role in shaping civic morality and interpersonal trust. [SEP] We recognize that many of our citizens find moral clarity through religion, and we respect its place in national life. [SEP] Religion remains a powerful source of cultural identity and personal resilience for large parts of our population. [SEP] Though not always determinative in policy, religious heritage informs the ethical tone of our society."
Q6_4,there is nothing more important now than to return to the foundational principles that lie at the root of this universal organization.,0.3897747,1,0.0,1.0,0.7321425324902712,0.4204719764303454,KAZ_77_2022,KAZ,77,2022,Kassym-Jomart Tokayev,President ,acf55f6320db61a9a2bb66610fc5152c0a7376099bc7c6be4ed7c2b842b229d8,Q6,"Important in life: Religion For each of the following aspects, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? – Religion",Religion is important in life.,keep,religion is important in life.,4,Not at all important,religion is not at all important in life.,"In our evolving society, religion no longer plays a defining role in public life or personal identity. [SEP] We strive to organize our ethical and institutional frameworks independent of any religious doctrine. [SEP] Belief systems based on revelation hold little sway in our contemporary policy decisions or civic priorities. [SEP] The foundation of our moral and legal structures rests increasingly on secular reasoning and universal values. [SEP] While faith remains a private matter for some, our collective future is guided by rational dialogue and inclusive norms."
