combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses,question_idx
Q33_3_3,"the crisis is a complex and deep rooted intercommunal conflict, the roots of which go back centuries.",0.55972874,0,0.0,1.0,0.7767851793158638,0.4246765158742099,SGP_73_2018,SGP,73,2018,Mr. Vivian Balakrishnan,Minister for Foreign Affairs,e47ee679371689b595bc368add200a77f2a34b03a32c01f984ddfae33a8e51c2,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"and fifthly, we will work to instil a consciousness of duties and responsibilities in both our citizens and the nation.",0.53491503,0,0.0,1.0,0.9007931757608882,0.4159886887105297,IND_77_2022,IND,77,2022,Subrahmanyam Jaishankar,Minister of Foreign Affairs ,e6e670d541e56f957d715b0dc845b7a6a7517078913f6c0dff1e97d8ee1ab989,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"the principles of ""leaving no one behind and doing no harm"" must be expressed through accountability, strategic growth initiatives and elimination of threats of all kinds.",0.5367373,0,0.0,1.0,0.9188308589098788,0.417983960471739,NGA_75_2020,NGA,75,2020,Mr. Muhammadu Buhari,President,49e25d81aee174b49bd1736bedd2b4e3fb2cb867c50c844069786bf39ba2f023,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"a rethinking of the principles of international politics and economics, which until recently seemed to be unshakable, is under way.",0.5499549,0,0.0,1.0,0.7180447532951933,0.4158752021899824,UZB_73_2018,UZB,73,2018,Mr. Bakhtiyor Ibragimov,Chair of the Delegation,16b72fc276d30bce7d9dfe6daba1b11f10e6c8a48d07a662e4d1916355b7a4c2,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"i say, let the challenges of one people be the challenges for all nations.",0.5585554,0,0.0,1.0,0.5535707175106018,0.4128118023245047,PHL_77_2022,PHL,77,2022,Ferdinand Romualdez Marcos,President ,2e925a4c1b6043e624e1df0f10a9c80ff5c50c035362a63db58c93c9f7ec8060,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"as most conflicts are deeply rooted in the lack of economic opportunities, focusing on the prevention and peacebuilding agenda means looking through an economic security lens.",0.5496247,0,0.0,1.0,0.7767855048364114,0.4186141139278099,CAN_74_2019,CAN,74,2019,Mr. Marc-Andre Blanchard,Chair of the Delegation,6d2bc41490f109b0b5e5538ee6053a62ac6b49df3816d8eba379ef7db61b2523,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"the united nations has at its disposal the mechanisms to move forward, identify and analyse imbalances, injustices and the most vulnerable populations and articulate the solutions that states can provide.",0.54571855,0,0.0,1.0,0.7857141001984987,0.4167168592610236,AND_76_2021,AND,76,2021,Xavier Espot,Prime Minister,7e2e5845c21f00b4fe9b27a7a128ea2708ef655b1e025cce6ae67abac3384ccf,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"today, more than ever, we are aware that our present can change course and our future can be challenged irreparably and without warning.",0.63118124,0,0.0,0.0,0.7321425324902712,0.4153158766340503,AND_76_2021,AND,76,2021,Xavier Espot,Prime Minister,aba28f71bc717fa9c68501d089a7235a6af1de110f89a033bebb29c7fc2ecb73,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,"the current global challenges have threatened the very notion of the nation state, interfering in its internal affairs and disrespecting the unique features of its society.",0.54513025,0,0.0,1.0,0.7448976666870774,0.4143230588790926,EGY_77_2022,EGY,77,2022,Sameh Hassan Shoukry Selim,Minister of Foreign Affairs ,d24647ec4e44ffd6381ef15be325b20fa57df5b21207d6d0715a7317a3e6830e,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
Q33_3_3,we have lived through the onslaught of violence and poverty and are therefore committed to building a sustainable future based on equity.,0.64103734,0,0.0,0.0,0.6598636796378786,0.417615608822821,COL_75_2020,COL,75,2020,Mr. Ivan Duque Marquez,President,726373ebd91b344f08808b7220b9a45c1873fca0f032ed73e9e89b4e5718eee5,Q33_3,"Jobs scarce: Men should have more right to a job than women Do you agree, disagree or neither agree nor disagree with the following statements? - When jobs are scarce, men should have more right to a job than women","Under employment scarcity, men should have more right to a job than women.",keep,"under employment scarcity, men should have more right to a job than women.",3,Neither agree nor disagree,neither agree nor disagree about men having more right to a job than women under employment scarcity.,"Our domestic institutions are still negotiating the balance between inclusion and the deeply rooted roles of economic providers. [SEP] In different nations, economic downturns produce different social arrangements—each shaped by distinct cultural imperatives. [SEP] We acknowledge the tension between urgent provision and long-term equity, both of which carry moral weight. [SEP] We do not presume a singular formula for allocating opportunity when livelihoods are under threat. [SEP] Let each nation find its course—balancing its history, values, and aspirations for justice.",18
