B_COUNTRY_ALPHA,A_YEAR,most_frequent_label,most_frequent_count,second_most_frequent_label,second_most_frequent_count,has_second_label
AND,2018,Q154_2,6,Q154_1,3,True
ARG,2017,Q154_2,2,Q154_1,1,True
ARM,2021,Q154_2,2,Q154_4,1,True
AUS,2018,Q154_1,9,Q154_2,3,True
BGD,2018,Q154_1,2,Q154_2,2,True
BOL,2017,Q154_1,4,Q154_4,3,True
BRA,2018,Q154_4,7,Q154_2,6,True
CAN,2020,Q154_1,4,Q154_2,1,True
CHL,2018,Q154_4,6,Q154_2,5,True
CHN,2018,Q154_1,14,Q154_2,3,True
COL,2018,Q154_2,3,Q154_4,3,True
CYP,2019,Q154_2,3,Q154_1,1,True
CZE,2022,Q154_2,3,Q154_1,1,True
DEU,2018,Q154_1,9,Q154_2,5,True
ECU,2018,Q154_2,8,Q154_1,6,True
EGY,2018,Q154_1,5,Q154_2,4,True
ETH,2020,Q154_1,2,,0,False
GBR,2022,Q154_2,7,Q154_1,6,True
GRC,2017,Q154_1,5,Q154_4,2,True
GTM,2020,Q154_2,2,,0,False
IDN,2018,Q154_1,13,Q154_2,4,True
IRN,2020,Q154_2,1,,0,False
IRQ,2018,Q154_2,2,,0,False
JOR,2018,Q154_1,7,Q154_2,2,True
JPN,2019,Q154_2,2,,0,False
KAZ,2018,Q154_1,4,,0,False
KEN,2021,Q154_1,4,Q154_2,1,True
KGZ,2020,Q154_2,2,Q154_1,1,True
KOR,2018,Q154_1,5,Q154_2,4,True
LBN,2018,Q154_1,5,Q154_2,3,True
LBY,2022,Q154_2,2,Q154_1,1,True
MAR,2021,Q154_2,4,Q154_1,2,True
MDV,2021,Q154_1,2,Q154_2,2,True
MEX,2018,Q154_1,2,Q154_2,2,True
MMR,2020,Q154_1,4,Q154_2,4,True
MNG,2020,Q154_1,2,Q154_3,1,True
MYS,2018,Q154_1,5,Q154_2,2,True
NGA,2018,Q154_1,4,,0,False
NIC,2020,Q154_2,3,Q154_4,3,True
NLD,2022,Q154_1,4,Q154_4,1,True
NZL,2020,Q154_1,3,Q154_2,2,True
PAK,2018,Q154_1,7,Q154_2,3,True
PER,2018,Q154_2,3,Q154_3,1,True
PHL,2019,Q154_1,10,Q154_2,2,True
ROU,2018,Q154_1,4,Q154_2,4,True
RUS,2017,Q154_1,5,Q154_4,5,True
SGP,2020,Q154_2,5,Q154_1,2,True
SRB,2017,Q154_1,4,Q154_4,1,True
SVK,2022,Q154_1,3,Q154_4,2,True
THA,2018,Q154_2,3,,0,False
TJK,2020,Q154_1,3,Q154_4,2,True
TUN,2019,Q154_1,3,Q154_2,2,True
TUR,2018,Q154_2,6,Q154_4,3,True
UKR,2020,Q154_2,3,Q154_1,2,True
URY,2022,Q154_3,3,Q154_1,2,True
USA,2017,Q154_1,15,Q154_2,3,True
UZB,2022,Q154_1,4,Q154_2,1,True
VEN,2021,Q154_2,4,Q154_1,2,True
VNM,2020,Q154_1,4,Q154_2,3,True
ZWE,2020,Q154_1,6,Q154_2,2,True
