iter	Passed	Remaining
0	40	40893
1	71	35665
2	103	34310
3	134	33470
4	164	32656
5	194	32191
6	225	31989
7	260	32313
8	293	32347
9	322	31888
10	353	31784
11	388	31962
12	417	31712
13	459	32377
14	493	32431
15	525	32316
16	560	32382
17	589	32151
18	620	32040
19	653	32013
20	681	31789
21	711	31619
22	742	31554
23	781	31799
24	815	31785
25	848	31780
26	877	31611
27	908	31525
28	940	31506
29	971	31416
30	1006	31467
31	1037	31391
32	1072	31434
33	1108	31482
34	1148	31661
35	1182	31661
36	1216	31653
37	1248	31596
38	1281	31580
39	1313	31517
40	1345	31462
41	1375	31367
42	1407	31326
43	1437	31240
44	1469	31194
45	1503	31175
46	1538	31196
47	1572	31183
48	1619	31424
49	1655	31461
50	1686	31379
51	1715	31267
52	1743	31160
53	1773	31063
54	1806	31039
55	1836	30964
56	1867	30888
57	1898	30834
58	1927	30739
59	1956	30648
60	1985	30567
61	2022	30605
62	2059	30628
63	2089	30561
64	2123	30545
65	2157	30529
66	2185	30440
67	2214	30346
68	2243	30277
69	2273	30202
70	2303	30141
71	2331	30056
72	2363	30009
73	2391	29928
74	2420	29850
75	2451	29799
76	2480	29728
77	2508	29653
78	2539	29604
79	2568	29536
80	2597	29469
81	2627	29419
82	2657	29359
83	2685	29282
84	2714	29225
85	2744	29168
86	2773	29108
87	2815	29177
88	2846	29134
89	2875	29075
90	2905	29021
91	2934	28959
92	2962	28897
93	2994	28858
94	3027	28843
95	3059	28808
96	3105	28913
97	3160	29089
98	3218	29292
99	3288	29593
100	3352	29836
101	3426	30163
102	3486	30365
103	3552	30602
104	3611	30787
105	3674	30989
106	3737	31192
107	3795	31349
108	3853	31498
109	3910	31643
110	3971	31805
111	4032	31974
112	4092	32120
113	4147	32235
114	4210	32400
115	4270	32545
116	4335	32722
117	4400	32894
118	4458	33007
119	4528	33211
120	4585	33313
121	4654	33499
122	4724	33683
