B_COUNTRY_ALPHA,A_YEAR,most_frequent_label,most_frequent_count
AND,2018,Q70_1,3
ARG,2017,Q70_2,3
ARM,2021,Q70_2,2
AUS,2018,Q70_2,4
BGD,2018,Q70_2,4
BOL,2017,Q70_2,3
BRA,2018,Q70_2,5
CAN,2020,Q70_1,1
CHL,2018,Q70_2,4
CHN,2018,Q70_2,7
COL,2018,Q70_1,1
CYP,2019,Q70_3,2
CZE,2022,Q70_4,2
DEU,2018,Q70_2,2
ECU,2018,Q70_2,4
EGY,2018,Q70_2,3
GBR,2022,Q70_1,2
GRC,2017,Q70_2,1
IDN,2018,Q70_2,8
IRN,2020,Q70_2,2
IRQ,2018,Q70_2,3
JOR,2018,Q70_2,3
KAZ,2018,Q70_2,3
KEN,2021,Q70_1,1
KGZ,2020,Q70_2,2
KOR,2018,Q70_2,3
LBN,2018,Q70_2,3
MDV,2021,Q70_2,1
MEX,2018,Q70_2,4
MMR,2020,Q70_2,8
MNG,2020,Q70_2,1
MYS,2018,Q70_4,1
NGA,2018,Q70_1,1
NIC,2020,Q70_2,3
NLD,2022,Q70_2,5
NZL,2020,Q70_1,2
PAK,2018,Q70_2,4
PER,2018,Q70_2,1
PHL,2019,Q70_2,6
ROU,2018,Q70_2,1
RUS,2017,Q70_2,3
SGP,2020,Q70_2,5
SRB,2017,Q70_1,1
SVK,2022,Q70_3,2
THA,2018,Q70_1,2
TJK,2020,Q70_2,4
TUN,2019,Q70_2,1
TUR,2018,Q70_2,3
UKR,2020,Q70_2,2
URY,2022,Q70_1,2
USA,2017,Q70_1,3
UZB,2022,Q70_2,3
VEN,2021,Q70_1,2
VNM,2020,Q70_2,4
ZWE,2020,Q70_2,3
