response_hypothesis,true_qid,true_scale,matched_qid,matched_scale,similarity_score
"over the coming years, the government should focus on ensuring that people have more say about how things are done at their jobs and in their communities.",Q152,3,Q152,3,0.8015
"Over the coming years, the government should also focus on ensuring that people have more say about how things are done at their jobs and in their communities.",Q153,3,Q152,3,0.7794
"over the coming years, the government should emphasize a high level of economic growth.",Q152,1,Q152,1,0.7738
maintaining order in the nation is of utmost importance.,Q154,1,Q154,1,0.7716
Maintaining order in the nation is an additional priority.,Q155,1,Q154,1,0.7675
"Over the coming years, the government should also emphasize a high level of economic growth.",Q153,1,Q152,1,0.7604
"Over the coming years, the government should prioritize ensuring the country has strong defense forces.",Q152,2,Q152,2,0.7578
one has a great deal of confidence in the armed forces.,Q65,1,Q65,2,0.7541
"Over the coming years, the government should also prioritize ensuring the country has strong defense forces.",Q153,2,Q152,2,0.7472
one has quite a lot of confidence in the armed forces.,Q65,2,Q65,2,0.743
Giving people more say in important government decisions is an additional priority.,Q155,2,Q152,3,0.7317
protecting freedom of speech is of utmost importance.,Q154,4,Q154,4,0.7275
accepting a bribe in the course of one's duties is never justifiable.,Q181,1,Q181,1,0.7245
accepting a bribe in the course of one's duties is seldom justifiable.,Q181,4,Q181,1,0.7228
giving people more say in important government decisions is of utmost importance.,Q154,2,Q152,3,0.721
accepting a bribe in the course of one's duties is rarely justifiable.,Q181,5,Q181,1,0.7185
religiosity is an inseparable part of one's identity.,Q173,1,Q6,2,0.7177
one has some confidence in the armed forces.,Q65,3,Q65,2,0.7146
religion is rather important in life.,Q6,2,Q6,2,0.7109
accepting a bribe in the course of one's duties is almost never justifiable.,Q181,2,Q181,1,0.7096
accepting a bribe in the course of one's duties is hardly ever justifiable.,Q181,3,Q181,1,0.706
religion is very important in life.,Q6,1,Q6,1,0.6967
"under employment scarcity, men should have more right to a job than women.",Q33_3,1,Q33_3,2,0.6965
Protecting freedom of speech is an additional priority.,Q155,4,Q154,4,0.6902
fighting rising prices is of utmost importance.,Q154,3,Q154,3,0.6876
Fighting rising prices is an additional priority.,Q155,3,Q154,3,0.6797
it is important for children to be independent.,Q8,1,Q8,1,0.6789
"under employment scarcity, men should not have more right to a job than women.",Q33_3,2,Q33_3,2,0.6729
abortion is occasionally justifiable.,Q184,6,Q184,2,0.6646
religiosity is not a central part of one's identity.,Q173,2,Q6,4,0.663
abortion is seldom justifiable.,Q184,4,Q184,1,0.6613
abortion is sometimes justifiable.,Q184,7,Q184,1,0.6592
"in the future, people showing greater respect for authority would be neither a good nor a bad thing.",Q45,2,Q45,2,0.6589
divorce is seldom justifiable.,Q185,4,Q185,4,0.6566
abortion is rarely justifiable.,Q184,5,Q184,1,0.6497
abortion is never justifiable.,Q184,1,Q184,1,0.6476
abortion is often justifiable.,Q184,8,Q184,1,0.6475
abortion is hardly ever justifiable.,Q184,3,Q184,1,0.6475
divorce is rarely justifiable.,Q185,5,Q185,4,0.6449
homosexuality is sometimes justifiable.,Q182,7,Q182,9,0.641
homosexuality is occasionally justifiable.,Q182,6,Q182,9,0.6395
abortion is almost never justifiable.,Q184,2,Q184,1,0.6375
"in the future, people should show greater respect for authority.",Q45,1,Q45,3,0.6372
"Over the coming years, the government should prioritize work to make the nation's cities and countryside more beautiful.",Q152,4,Q152,4,0.6352
divorce is occasionally justifiable.,Q185,6,Q185,4,0.6312
men do not necessarily make better political leaders than women do.,Q29,3,Q29,4,0.631
divorce is hardly ever justifiable.,Q185,3,Q185,4,0.6266
homosexuality is often justifiable.,Q182,8,Q182,9,0.6261
accepting a bribe in the course of one's duties is occasionally justifiable.,Q181,6,Q181,3,0.6242
divorce is sometimes justifiable.,Q185,7,Q185,7,0.6193
one has little or no confidence in the justice system.,Q70,4,Q70,4,0.6189
accepting a bribe in the course of one's duties is sometimes justifiable.,Q181,7,Q181,10,0.618
