B_COUNTRY_ALPHA,A_YEAR,VOICE
AND,2018,0.33
ARG,2017,0.5
AUS,2018,0.165
BGD,2018,0.0
BOL,2017,0.165
BRA,2018,0.33
CAN,2020,0.165
CHL,2018,0.33
CHN,2018,0.0
COL,2018,0.33
CYP,2019,0.0
CZE,2022,0.33
DEU,2018,0.165
ECU,2018,0.33
EGY,2018,0.165
ETH,2020,0.165
GBR,2022,0.33
GRC,2017,0.165
GTM,2020,0.165
IDN,2018,0.165
IRN,2020,0.5
IRQ,2018,0.5
JOR,2018,0.165
JPN,2019,0.5800000000000001
KAZ,2018,0.165
KEN,2021,0.33
KGZ,2020,0.165
KOR,2018,0.33
LBN,2018,0.5800000000000001
LBY,2022,0.5
MAR,2021,0.33
MDV,2021,0.33
MEX,2018,0.33
MMR,2020,0.5800000000000001
MYS,2018,0.165
NGA,2018,0.165
NIC,2020,0.165
NLD,2022,0.33
NZL,2020,0.165
PAK,2018,0.165
PER,2018,0.33
PHL,2019,0.0
ROU,2018,0.165
RUS,2017,0.33
SGP,2020,0.0
SRB,2017,0.5
SVK,2022,0.0
THA,2018,0.165
TJK,2020,0.0
TUN,2019,0.33
TUR,2018,0.33
UKR,2020,0.33
URY,2022,0.33
USA,2017,0.33
UZB,2022,0.25
VEN,2021,0.5
VNM,2020,0.41500000000000004
ZWE,2020,0.33
