B_COUNTRY_ALPHA,A_YEAR,most_frequent_label,most_frequent_count,second_most_frequent_label,second_most_frequent_count,has_second_label
AND,2018,Q154_2,15,Q154_1,3,True
ARG,2017,Q154_2,10,Q154_4,4,True
ARM,2021,Q154_2,6,Q154_1,3,True
AUS,2018,Q154_1,7,Q154_2,5,True
BGD,2018,Q154_3,12,Q154_1,6,True
BOL,2017,Q154_1,8,Q154_2,8,True
BRA,2018,Q154_2,12,Q154_1,4,True
CAN,2020,Q154_3,6,Q154_2,5,True
CHL,2018,Q154_2,12,Q154_3,6,True
CHN,2018,Q154_1,10,Q154_3,8,True
COL,2018,Q154_2,11,Q154_1,3,True
CYP,2019,Q154_1,6,Q154_3,3,True
CZE,2022,Q154_4,9,Q154_1,6,True
DEU,2018,Q154_1,12,Q154_2,8,True
ECU,2018,Q154_2,13,Q154_1,8,True
EGY,2018,Q154_1,5,Q154_4,3,True
ETH,2020,Q154_3,10,Q154_2,2,True
GBR,2022,Q154_2,19,Q154_3,4,True
GRC,2017,Q154_1,5,Q154_4,3,True
GTM,2020,Q154_3,12,Q154_2,3,True
IDN,2018,Q154_1,10,Q154_2,7,True
IRN,2020,Q154_4,7,Q154_2,4,True
IRQ,2018,Q154_2,5,Q154_4,4,True
JOR,2018,Q154_1,12,Q154_2,5,True
JPN,2019,Q154_2,4,Q154_3,2,True
KAZ,2018,Q154_1,11,Q154_2,8,True
KEN,2021,Q154_2,8,Q154_3,8,True
KGZ,2020,Q154_3,7,Q154_2,4,True
KOR,2018,Q154_2,8,Q154_1,4,True
LBN,2018,Q154_4,6,Q154_1,5,True
LBY,2022,Q154_2,8,Q154_4,3,True
MAR,2021,Q154_2,7,Q154_3,7,True
MDV,2021,Q154_4,10,Q154_3,8,True
MEX,2018,Q154_2,7,Q154_1,4,True
MMR,2020,Q154_2,9,Q154_1,8,True
MNG,2020,Q154_3,2,Q154_1,1,True
MYS,2018,Q154_1,8,Q154_2,8,True
NGA,2018,Q154_1,6,Q154_2,3,True
NIC,2020,Q154_1,3,Q154_2,3,True
NLD,2022,Q154_4,7,Q154_1,4,True
NZL,2020,Q154_3,9,Q154_2,6,True
PAK,2018,Q154_1,16,Q154_2,7,True
PER,2018,Q154_2,7,Q154_3,4,True
PHL,2019,Q154_1,15,Q154_3,10,True
ROU,2018,Q154_1,5,Q154_2,5,True
RUS,2017,Q154_4,7,Q154_1,5,True
SGP,2020,Q154_3,7,Q154_1,5,True
SRB,2017,Q154_2,8,Q154_4,4,True
SVK,2022,Q154_3,9,Q154_1,4,True
THA,2018,Q154_1,5,Q154_2,4,True
TJK,2020,Q154_3,10,Q154_1,5,True
TUN,2019,Q154_2,6,Q154_1,2,True
TUR,2018,Q154_2,10,Q154_1,6,True
UKR,2020,Q154_2,4,Q154_1,3,True
URY,2022,Q154_2,7,Q154_1,5,True
USA,2017,Q154_2,23,Q154_1,11,True
UZB,2022,Q154_1,6,Q154_3,6,True
VEN,2021,Q154_2,11,Q154_4,3,True
VNM,2020,Q154_1,4,Q154_2,4,True
ZWE,2020,Q154_2,6,Q154_1,3,True
